NAME_EN
Indonesia
Malaysia
Chile
Bolivia
Peru
Argentina
Cyprus
India
People's Republic of China
Israel
Palestine
Lebanon
Ethiopia
South Sudan
Somalia
Kenya
Pakistan
Malawi
Tanzania
Syria
France
Suriname
Guyana
South Korea
North Korea
Morocco
Costa Rica
Nicaragua
Republic of the Congo
Democratic Republic of the Congo
Bhutan
Ukraine
Belarus
Namibia
South Africa
Saint Martin
Sint Maarten
Oman
Uzbekistan
Kazakhstan
Tajikistan
Lithuania
Brazil
Uruguay
Mongolia
Russia
Czech Republic
Germany
Estonia
Latvia
Norway
Sweden
Finland
Vietnam
Cambodia
Luxembourg
United Arab Emirates
Belgium
Georgia
Republic of Macedonia
Albania
Azerbaijan
Kosovo
Turkey
Spain
Laos
Kyrgyzstan
Armenia
Denmark
Libya
Tunisia
Romania
Hungary
Slovakia
Poland
Ireland
United Kingdom
Greece
Zambia
Sierra Leone
Guinea
Liberia
Central African Republic
Sudan
Djibouti
Eritrea
Austria
Iraq
Italy
Switzerland
Iran
Liechtenstein
Ivory Coast
Serbia
Mali
Senegal
Nigeria
Benin
Angola
Croatia
Slovenia
Qatar
Saudi Arabia
Botswana
Zimbabwe
Bulgaria
Thailand
San Marino
Haiti
Dominican Republic
Chad
Kuwait
El Salvador
Guatemala
East Timor
Brunei
Monaco
Algeria
Mozambique
eSwatini
Burundi
Rwanda
Myanmar
Bangladesh
Andorra
Afghanistan
Montenegro
Bosnia and Herzegovina
Uganda
Guantanamo Bay Naval Base
Cuba
Honduras
Ecuador
Colombia
Paraguay
Portugal
Moldova
Turkmenistan
Jordan
Nepal
Lesotho
Cameroon
Gabon
Niger
Burkina Faso
Togo
Ghana
Guinea-Bissau
Gibraltar
United States of America
Canada
Mexico
Belize
Panama
Venezuela
Papua New Guinea
Egypt
Yemen
Mauritania
Equatorial Guinea
The Gambia
Hong Kong
Vatican City
Australia
Greenland
Fiji
New Caledonia
Madagascar
Philippines
Sri Lanka
Curaçao
Aruba
The Bahamas
Turks and Caicos Islands
Japan
Saint Pierre and Miquelon
Iceland
Pitcairn Islands
French Polynesia
French Southern and Antarctic Lands
Seychelles
Kiribati
Marshall Islands
Trinidad and Tobago
Grenada
Saint Vincent and the Grenadines
Barbados
Saint Lucia
Dominica
Montserrat
Antigua and Barbuda
Saint Kitts and Nevis
United States Virgin Islands
Saint-Barthélemy
Puerto Rico
Anguilla
British Virgin Islands
Jamaica
Cayman Islands
Bermuda
Heard Island and McDonald Islands
Saint Helena
Mauritius
Comoros
São Tomé and Príncipe
Cape Verde
Malta
Jersey
Guernsey
Isle of Man
Faroe Islands
British Indian Ocean Territory
Singapore
Norfolk Island
Cook Islands
Tonga
Wallis and Futuna
Samoa
Solomon Islands
Tuvalu
Maldives
Nauru
Federated States of Micronesia
South Georgia and the South Sandwich Islands
Falkland Islands
Vanuatu
Niue
American Samoa
Palau
Guam
Northern Mariana Islands
Bahrain
Clipperton Island
Macau
Netherlands
Netherlands
Netherlands
Netherlands
Australian Indian Ocean Territories
Australian Indian Ocean Territories
United States Minor Outlying Islands
United States Minor Outlying Islands
United States Minor Outlying Islands
United States Minor Outlying Islands
United States Minor Outlying Islands
United States Minor Outlying Islands
United States Minor Outlying Islands
United States Minor Outlying Islands
United States Minor Outlying Islands
New Zealand
New Zealand
